Day,Cash On Hand (Accumulated) (USD)
0,3500000
1,3487400
2,3343440
3,335370
4,305300
5,277230
6,15160
7,27615
8,25370
9,23124
10,762898
11,466897
12,1209841
13,583137
14,475858
15,660111
16,14199
17,193257
18,168123
19,31700
20,3206
21,1206
22,238636
23,180244
24,130233
25,97412
26,44857
27,48100
28,17738
29,20323
30,4033
31,16806
32,7451
33,504597
34,428442
35,432142
36,430186
37,712365
38,268436
39,667573
40,120327
41,480665
42,489245
43,479604
44,490944
45,498305
46,460571
47,411287
48,442758
49,393217
50,391661
51,341623
52,395047
53,566752
54,524820
55,561164
56,332576
57,333440
58,364037
59,355975
60,330454
61,260370
62,225168
63,207979
64,175348
65,150655
66,220073
67,147311
68,155773
69,166489
70,142795
71,136330
72,290748
73,331222
74,160132
75,168824
76,210047
77,56176
78,378175
79,674513
80,595875
81,683491
82,386902
83,202922
84,241948
85,302134
86,588577
87,601238
88,649234
89,811167
90,813901
