[HIGHEST OVERHEAD] SALARY EXPENSE: 26.09%
[CASH DEFICIT] DAY: 1, AMOUNT: USD12600
[CASH DEFICIT] DAY: 2, AMOUNT: USD143960
[CASH DEFICIT] DAY: 3, AMOUNT: USD3008070
[CASH DEFICIT] DAY: 4, AMOUNT: USD30070
[CASH DEFICIT] DAY: 5, AMOUNT: USD28070
[CASH DEFICIT] DAY: 6, AMOUNT: USD262070
[CASH DEFICIT] DAY: 8, AMOUNT: USD2245
[CASH DEFICIT] DAY: 9, AMOUNT: USD2246
[CASH DEFICIT] DAY: 11, AMOUNT: USD296001
[CASH DEFICIT] DAY: 13, AMOUNT: USD626704
[CASH DEFICIT] DAY: 14, AMOUNT: USD107279
[CASH DEFICIT] DAY: 16, AMOUNT: USD645912
[CASH DEFICIT] DAY: 18, AMOUNT: USD25134
[CASH DEFICIT] DAY: 19, AMOUNT: USD136423
[CASH DEFICIT] DAY: 20, AMOUNT: USD28494
[CASH DEFICIT] DAY: 21, AMOUNT: USD2000
[CASH DEFICIT] DAY: 23, AMOUNT: USD58392
[CASH DEFICIT] DAY: 24, AMOUNT: USD50011
[CASH DEFICIT] DAY: 25, AMOUNT: USD32821
[CASH DEFICIT] DAY: 26, AMOUNT: USD52555
[CASH DEFICIT] DAY: 28, AMOUNT: USD30362
[CASH DEFICIT] DAY: 30, AMOUNT: USD16290
[CASH DEFICIT] DAY: 32, AMOUNT: USD9355
[CASH DEFICIT] DAY: 34, AMOUNT: USD76155
[CASH DEFICIT] DAY: 36, AMOUNT: USD1956
[CASH DEFICIT] DAY: 38, AMOUNT: USD443929
[CASH DEFICIT] DAY: 40, AMOUNT: USD547246
[CASH DEFICIT] DAY: 43, AMOUNT: USD9641
[CASH DEFICIT] DAY: 46, AMOUNT: USD37734
[CASH DEFICIT] DAY: 47, AMOUNT: USD49284
[CASH DEFICIT] DAY: 49, AMOUNT: USD49541
[CASH DEFICIT] DAY: 50, AMOUNT: USD1556
[CASH DEFICIT] DAY: 51, AMOUNT: USD50038
[CASH DEFICIT] DAY: 54, AMOUNT: USD41932
[CASH DEFICIT] DAY: 56, AMOUNT: USD228588
[CASH DEFICIT] DAY: 59, AMOUNT: USD8062
[CASH DEFICIT] DAY: 60, AMOUNT: USD25521
[CASH DEFICIT] DAY: 61, AMOUNT: USD70084
